,city,currency1,currency2,currency3,latitude,longitude,record_date,state,street,valuation_high,valuation_low,zestimate,zipcode,zpid
0,SAN MARCOS,USD,USD,USD,33.167724,-117.182188,2019-02-20 20:49:25.544540,CA,870 Avenida Abeja,723683,654761,689222,92069,63141450
0,San Marcos,USD,USD,USD,33.160448,-117.184499,2019-02-20 20:49:25.544540,CA,1099 Tesoro Ave,680249,615463,647856,92069,16667449
1,San Marcos,USD,USD,USD,33.161751,-117.179956,2019-02-20 20:49:25.544540,CA,738 Via Barquero,698663,632123,665393,92069,16667549
2,SAN MARCOS,USD,USD,USD,33.16443,-117.187454,2019-02-20 20:49:25.544540,CA,1362 Corte Avispon,661488,598490,629989,92069,16666895
3,SAN MARCOS,USD,USD,USD,33.163776,-117.188475,2019-02-20 20:49:25.544540,CA,722 Avenida Abeja,638935,578085,608510,92069,16666906
4,SAN MARCOS,USD,USD,USD,33.164507,-117.185805,2019-02-20 20:49:25.544540,CA,767 Via Bahia,651287,589259,620273,92069,16666923
5,SAN MARCOS,USD,USD,USD,33.162188,-117.18755,2019-02-20 20:49:25.544540,CA,1240 Calle Prospero,651821,589743,620782,92069,16666988
6,SAN MARCOS,USD,USD,USD,33.161049,-117.186612,2019-02-20 20:49:25.544540,CA,1227 Calle Fantasia,596570,539754,568162,92069,16667027
7,SAN MARCOS,USD,USD,USD,33.161768,-117.187712,2019-02-20 20:49:25.544540,CA,1245 Calle Prospero,639126,578256,608691,92069,16667058
8,SAN MARCOS,USD,USD,USD,33.161777,-117.187424,2019-02-20 20:49:25.544540,CA,1237 Calle Prospero,589515,533371,561443,92069,16667060
9,SAN MARCOS,USD,USD,USD,33.161717,-117.186868,2019-02-20 20:49:25.544540,CA,1225 Calle Prospero,590639,534387,562513,92069,16667063
10,SAN MARCOS,USD,USD,USD,33.165086,-117.186117,2019-02-20 20:49:25.544540,CA,776 Via Bahia,647055,585431,616243,92069,16667072
11,SAN MARCOS,USD,USD,USD,33.163522,-117.185149,2019-02-20 20:49:25.544540,CA,745 Avenida Codorniz,640401,579411,609906,92069,16667115
12,SAN MARCOS,USD,USD,USD,33.16108,-117.183935,2019-02-20 20:49:25.544540,CA,1287 Via Contessa,589692,533530,561611,92069,16667160
13,SAN MARCOS,USD,USD,USD,33.161547,-117.181158,2019-02-20 20:49:25.544540,CA,1249 Via Caliente,664971,601641,633306,92069,16667174
14,SAN MARCOS,USD,USD,USD,33.161388,-117.18163,2019-02-20 20:49:25.544540,CA,1254 Via Contessa,613477,555051,584264,92069,16667179
15,SAN MARCOS,USD,USD,USD,33.161541,-117.183431,2019-02-20 20:49:25.544540,CA,1278 Via Contessa,606166,548436,577301,92069,16667189
16,SAN MARCOS,USD,USD,USD,33.163666,-117.183745,2019-02-20 20:49:25.544540,CA,748 Corte Manolito,624622,565134,594878,92069,16667229
17,SAN MARCOS,USD,USD,USD,33.162199,-117.181349,2019-02-20 20:49:25.544540,CA,1254 Via Caliente,657519,594899,626209,92069,16667241
18,SAN MARCOS,USD,USD,USD,33.159709,-117.184467,2019-02-20 20:49:25.544540,CA,647 Camino Magnifico,643678,582376,613027,92069,16667405
19,SAN MARCOS,USD,USD,USD,33.163313,-117.182408,2019-02-20 20:49:25.544540,CA,1271 Avenida Fragata,621462,562276,591869,92069,16667500
20,SAN MARCOS,USD,USD,USD,33.162439,-117.180884,2019-02-20 20:49:25.544540,CA,1237 Avenida Fragata,618118,559250,588684,92069,16667513
21,SAN MARCOS,USD,USD,USD,33.160635,-117.179589,2019-02-20 20:49:25.544540,CA,723 Via Barquero,613380,554962,584171,92069,16667541
22,SAN MARCOS,USD,USD,USD,33.158655,-117.179913,2019-02-20 20:49:25.544540,CA,1033 Camino Del Sol,712935,645037,678986,92069,49816168
23,SAN MARCOS,USD,USD,USD,33.164645,-117.182481,2019-02-20 20:49:25.544540,CA,1289 Avenida Amistad,621176,562016,591596,92069,49941794
24,SAN MARCOS,USD,USD,USD,33.159005,-117.182391,2019-02-20 20:49:25.544540,CA,680 Jay Ct,738892,668522,703707,92069,51077536
0,SAN MARCOS,USD,USD,USD,33.167724,-117.18218799999998,2019-02-20 20:49:25.544540,CA,870 Avenida Abeja,723683,654761,689222,92069,63141450
1,San Marcos,USD,USD,USD,33.160447999999995,-117.184499,2019-02-20 20:49:25.544540,CA,1099 Tesoro Ave,680249,615463,647856,92069,16667449
2,San Marcos,USD,USD,USD,33.161751,-117.179956,2019-02-20 20:49:25.544540,CA,738 Via Barquero,698663,632123,665393,92069,16667549
3,SAN MARCOS,USD,USD,USD,33.164429999999996,-117.187454,2019-02-20 20:49:25.544540,CA,1362 Corte Avispon,661488,598490,629989,92069,16666895
4,SAN MARCOS,USD,USD,USD,33.163776,-117.188475,2019-02-20 20:49:25.544540,CA,722 Avenida Abeja,638935,578085,608510,92069,16666906
5,SAN MARCOS,USD,USD,USD,33.164507,-117.185805,2019-02-20 20:49:25.544540,CA,767 Via Bahia,651287,589259,620273,92069,16666923
