,School Name,Address,zipcode,median,latitude,longitude
0,Canyon Crest Academy,"5951 Village Center Loop Rd.San Diego, CA 92130",92130,896100,32.944802,-117.199324
1,Torrey Pines High School,"3710 Del Mar Heights Rd.San Diego, CA 92130",92130,896100,32.944802,-117.199324
2,Westview High School,"13500 Camino Del SurSan Diego, CA 92129",92129,652300,32.966089000000004,-117.127301
3,Del Norte High School,"16601 Nighthawk Ln.San Diego, CA 92127",92127,683300,33.022206,-117.126479
4,Coronado High School,"650 D Ave.Coronado, CA 92118",92118,1424100,32.645759000000005,-117.160716
5,San Dieguito High Academy,"800 Santa Fe Dr.Encinitas, CA 92024",92024,803000,33.050487,-117.251443
6,Grossmont Middle College High School,"8800 Grossmont College Dr.El Cajon, CA 92020",92020,416600,32.793893,-116.967205
7,Sage Creek High School,"3900 Cannon Rd.Carlsbad, CA 92010",92010,560600,33.155305,-117.279802
8,Rancho Bernardo High School,"13010 Paseo LucidoSan Diego, CA 92128",92128,526900,32.995363,-117.07376699999999
9,Preuss School UCSD,"9500 Gilman Dr.La Jolla, CA 92037",92037,1282800,32.870045000000005,-117.249522
10,Mt. Carmel High School,"9550 Carmel Mountain Rd.San Diego, CA 92129",92129,652300,32.966089000000004,-117.127301
11,Mt. Everest Academy,"4350 Mt. Everest Blvd.San Diego, CA 92117",92117,513200,32.818462,-117.19848200000001
12,Mission Vista High School,"1306 Melrose DriveOceanside, CA 92057",92057,382000,33.254323,-117.288128
13,La Costa Canyon High School,"1 Maverick WayCarlsbad, CA 92009",92009,736500,33.095774,-117.23831000000001
14,Classical Academy High School,"207 East Pennsylvania AvenueEscondido, CA 92025",92025,434900,33.089586,-117.01173500000002
15,Scripps Ranch High School,"10410 Treena St.San Diego, CA 92131",92131,671500,32.894669,-117.049687
16,Escondido Charter High School,"1868 E. Valley Pkwy.Escondido, CA 92027",92027,367900,33.133646,-116.97962
17,Poway High School,"15500 Espola Rd.Poway, CA 92064",92064,606400,32.994890999999996,-117.018823
18,Helix High School,"7323 Univ Ave.La Mesa, CA 91941",91941,514100,32.75942,-116.997076
19,Olympian High School,"1925 Magdalena Ave.Chula Vista, CA 91913",91913,457300,32.625569,-116.976102
20,University City High School,"6949 Genesee Ave.San Diego, CA 92122",92122,589500,32.861931,-117.17256
21,San Marcos High School,"1615 San Marcos Blvd.San Marcos, CA 92078",92078,502000,33.121434,-117.177444
22,La Jolla High School,"750 Nautilus St.La Jolla, CA 92037",92037,1282800,32.870045000000005,-117.249522
23,River Valley Charter School,"9707 1/2 Marilla Dr.Lakeside, CA 92040",92040,408900,32.897702,-116.885209
24,Eastlake High School,"1120 E.lake Pkwy.Chula Vista, CA 91915",91915,453700,32.620222,-116.948912
