School Name,Ranking,Address,Zip Code,Latitude,Longitude,Link
Canyon Crest Academy,1,"5951 Village Center Loop Rd., San Diego, CA 92130",92130,32.9582439,-117.1890144,https://www.niche.com/k12/canyon-crest-academy-san-diego-ca/
Torrey Pines High School,2,"3710 Del Mar Heights Rd., San Diego, CA 92130",92130,32.95844,-117.224907,https://www.niche.com/k12/torrey-pines-high-school-san-diego-ca/
Westview High School,3,"13500 Camino Del Sur, San Diego, CA 92129",92129,32.9660984,-117.1500689,https://www.niche.com/k12/westview-high-school-san-diego-ca/
Del Norte High School,4,"16601 Nighthawk Ln., San Diego, CA 92127",92127,33.0140216,-117.1224627,https://www.niche.com/k12/del-norte-high-school-san-diego-ca/
Coronado High School,5,"650 D Ave., Coronado, CA 92118",92118,32.6914154,-117.1782133,https://www.niche.com/k12/coronado-high-school-coronado-ca/
San Dieguito High Academy,6,"800 Santa Fe Dr., Encinitas, CA 92024",92024,33.0363524,-117.2750188,https://www.niche.com/k12/san-dieguito-high-academy-encinitas-ca/
Grossmont Middle College High School,7,"8800 Grossmont College Dr., El Cajon, CA 92020",92020,32.81341,-117.006258,https://www.niche.com/k12/grossmont-middle-college-high-school-el-cajon-ca/
Sage Creek High School,8,"3900 Cannon Rd., Carlsbad, CA 92010",92010,33.1580933,-117.3505966,https://www.niche.com/k12/sage-creek-high-school-carlsbad-ca/
Rancho Bernardo High School,9,"13010 Paseo Lucido, San Diego, CA 92128",92128,32.997804,-117.0672812,https://www.niche.com/k12/rancho-bernardo-high-school-san-diego-ca/
Preuss School UCSD,10,"9500 Gilman Dr., La Jolla, CA 92093",92093,32.8793526,-117.2311005,https://www.niche.com/k12/preuss-school-ucsd-la-jolla-ca/
Mt. Carmel High School,11,"9550 Carmel Mountain Rd., San Diego, CA 92129",92129,32.967446,-117.120433,https://www.niche.com/k12/mt-carmel-high-school-san-diego-ca/
Mt. Everest Academy,12,"4350 Mt. Everest Blvd., San Diego, CA 92117",92117,32.819994,-117.187193,https://www.niche.com/k12/mt-everest-academy-san-diego-ca/
Mission Vista High School,13,"1306 Melrose Drive, Oceanside, CA 92057",92057,33.2548202,-117.2635531,https://www.niche.com/k12/mission-vista-high-school-oceanside-ca/
La Costa Canyon High School,14,"1 Maverick Way, Carlsbad, CA 92009",92009,33.013504,-117.041512,https://www.niche.com/k12/la-costa-canyon-high-school-carlsbad-ca/
Classical Academy High School,15,"207 East Pennsylvania Avenue, Escondido, CA 92025",92025,33.1242454,-117.0809507,https://www.niche.com/k12/classical-academy-high-school-escondido-ca/
Scripps Ranch High School,16,"10410 Treena St., San Diego, CA 92131",92131,32.9105213,-117.1139282,https://www.niche.com/k12/scripps-ranch-high-school-san-diego-ca/
Escondido Charter High School,17,"1868 E. Valley Pkwy., Escondido, CA 92027",92027,33.1365196,-117.0541544,https://www.niche.com/k12/escondido-charter-high-school-escondido-ca/
Poway High School,18,"15500 Espola Rd., Poway, CA 92064",92064,32.994117,-117.024753,https://www.niche.com/k12/poway-high-school-poway-ca/
Helix High School,19,"7323 University Ave., La Mesa, CA 91941",91941,32.7674904,-117.0219791,https://www.niche.com/k12/helix-high-school-la-mesa-ca/
Olympian High School,20,"1925 Magdalena Ave., Chula Vista, CA 91913",91913,32.6090498,-116.9731171,https://www.niche.com/k12/olympian-high-school-chula-vista-ca/
University City High School,21,"6949 Genesee Ave., San Diego, CA 92122",92122,32.8603099,-117.2082622,https://www.niche.com/k12/university-city-high-school-san-diego-ca/
San Marcos High School,22,"1615 San Marcos Blvd., San Marcos, CA 92078",92078,33.131255,-117.205279,https://www.niche.com/k12/san-marcos-high-school-san-marcos-ca/
La Jolla High School,23,"750 Nautilus St., La Jolla, CA 92037",92037,32.833784,-117.273018,https://www.niche.com/k12/la-jolla-high-school-la-jolla-ca/
River Valley Charter School,24,"9707 1/2 Marilla Dr., Lakeside, CA 92040",92040,32.858778,-116.961667,https://www.niche.com/k12/river-valley-charter-school-lakeside-ca/
Eastlake High School,25,"1120 E.lake Pkwy., Chula Vista, CA 91915",91915,32.629234,-116.948228,https://www.niche.com/k12/eastlake-high-school-chula-vista-ca/
